ID,Name,Duration,AS,AF,FloorID
240,Install Kitchen Appliances @ 15th Floor,5,16-May-16,,15
250,Install Architectural Finishes & Trim  @ 15th Floor,10,19-May-16,,15
260,Install Doors @ 15th Floor,5,,,15
270,Install Corridor Carpet @ 15th Floor,3,,,15
280,Perform Plumbing & Sprinkler Finish Inspection @ 15th Floor,1,,,15
290,Final Paint Coat on Walls & Trim @ 15th Floor,4,,,15
300,Punchlist  @ 15th Floor,5,,,15
10,Layout & Top Track @ 16th Floor,6,15-Jan-15,22-Jan-15,16
20,Rough Duct Work @ 16th Floor,5,21-Jan-15,23-Jan-15,16
30,Rough Mechanical Piping @ 16th Floor,5,42025,42027,16
40,Rough Plumbing @ 16th Floor,5,21-Jan-15,23-Jan-15,16
50,Rough Sprinkler @ 16th Floor,5,21-Jan-15,23-Jan-15,16
60,Rough Electrical @ 16th Floor,5,21-Jan-15,23-Jan-15,16
70,Frame Walls & Ceilings @ 16th Floor,5,5-Feb-15,30-Oct-15,16
80,Install Plumbing Frames & Crotons @ 16th Floor,5,2-Nov-15,6-Nov-15,16
90,Pull Wire @ 16th Floor,15,10-Nov-15,18-Nov-15,16
100,Firestopping & Inspections @ 16th Floor,5,10-Nov-15,22-Dec-15,16
110,Sheetrock & Tape Walls & Celings @ 16th Floor,15,2-Dec-15,21-Dec-15,16
120,Prime Paint @ 16th Floor,4,16-Dec-15,21-Dec-15,16
130,Install Mechanical Finishes @ 16th Floor,2,16-Dec-15,17-Dec-15,16
140,Install Sprinkler Heads @ 16th Floor,4,16-Dec-15,18-Dec-15,16
150,Install Plumbing Finishes @ 16th Floor,1,21-Dec-15,21-Dec-15,16
160,Install Electrical Finishes @ 16th Floor,4,16-Dec-15,21-Dec-15,16
170,Install Lighting @ 16th Floor,4,16-Dec-15,21-Dec-15,16
180,"Install Vanity, Sink & Shower Enclosure @ 16th Floor",6,,,16
190,Tile Bathroom Floors & Walls @ 16th Floor,12,,,16
200,Install Kitchen Cabinets @ 16th Floor,8,,,16
210,Install Kitchen Counters  @ 16th Floor,5,,,16
220,Install Kitchen Sink @ 16th Floor,3,,,16
230,Install Flooring & Carpet @ 16th Floor,6,,,16
240,Install Kitchen Appliances @ 16th Floor,5,,,16
250,Install Architectural Finishes & Trim  @ 16th Floor,10,,,16
260,Install Doors @ 16th Floor,5,,,16
270,Install Corridor Carpet @ 16th Floor,3,,,16
280,Perform Plumbing & Sprinkler Finish Inspection @ 16th Floor,1,,,16
290,Final Paint Coat on Walls & Trim @ 16th Floor,4,,,16
300,Punchlist  @ 16th Floor,5,,,16
10,Layout & Top Track @ 17th Floor,6,29-Jan-15,5-Feb-15,17
20,Rough Duct Work @ 17th Floor,5,4-Feb-15,6-Feb-15,17
30,Rough Mechanical Piping @ 17th Floor,5,4-Feb-15,6-Feb-15,17
40,Rough Plumbing @ 17th Floor,5,4-Feb-15,6-Feb-15,17
50,Rough Sprinkler @ 17th Floor,5,4-Feb-15,6-Feb-15,17
60,Rough Electrical @ 17th Floor,5,4-Feb-15,6-Feb-15,17
70,Frame Walls & Ceilings @ 17th Floor,5,9-Mar-15,6-Nov-15,17
80,Install Plumbing Frames & Crotons @ 17th Floor,5,10-Nov-15,16-Nov-15,17
90,Pull Wire @ 17th Floor,15,17-Nov-15,4-Dec-15,17
100,Firestopping & Inspections @ 17th Floor,5,7-Dec-15,29-Dec-15,17
110,Sheetrock & Tape Walls & Celings @ 17th Floor,15,10-Dec-15,29-Dec-15,17
120,Prime Paint @ 17th Floor,4,22-Dec-15,28-Dec-15,17
130,Install Mechanical Finishes @ 17th Floor,2,22-Dec-15,23-Dec-15,17
140,Install Sprinkler Heads @ 17th Floor,4,22-Dec-15,28-Dec-15,17
150,Install Plumbing Finishes @ 17th Floor,1,29-Dec-15,29-Dec-15,17
160,Install Electrical Finishes @ 17th Floor,4,22-Dec-15,28-Dec-15,17
170,Install Lighting @ 17th Floor,4,22-Dec-15,28-Dec-15,17
180,"Install Vanity, Sink & Shower Enclosure @ 17th Floor",6,,,17
190,Tile Bathroom Floors & Walls @ 17th Floor,12,,,17
200,Install Kitchen Cabinets @ 17th Floor,8,,,17
210,Install Kitchen Counters  @ 17th Floor,5,,,17
220,Install Kitchen Sink @ 17th Floor,3,,,17
230,Install Flooring & Carpet @ 17th Floor,6,,,17
240,Install Kitchen Appliances @ 17th Floor,5,,,17
250,Install Architectural Finishes & Trim  @ 17th Floor,10,,,17
260,Install Doors @ 17th Floor,5,,,17
270,Install Corridor Carpet @ 17th Floor,3,,,17
280,Perform Plumbing & Sprinkler Finish Inspection @ 17th Floor,1,,,17
290,Final Paint Coat on Walls & Trim @ 17th Floor,4,,,17
300,Punchlist  @ 17th Floor,5,,,17
10,Layout & Top Track @ 18th Floor,6,12-Feb-15,15-Oct-15,18
20,Rough Duct Work @ 18th Floor,5,14-Oct-15,16-Oct-15,18
30,Rough Mechanical Piping @ 18th Floor,5,14-Oct-15,16-Oct-15,18
40,Rough Plumbing @ 18th Floor,5,14-Oct-15,16-Oct-15,18
50,Rough Sprinkler @ 18th Floor,5,14-Oct-15,16-Oct-15,18
60,Rough Electrical @ 18th Floor,5,14-Oct-15,16-Oct-15,18
70,Frame Walls & Ceilings @ 18th Floor,5,29-Oct-15,12-Nov-15,18
80,Install Plumbing Frames & Crotons @ 18th Floor,5,13-Nov-15,19-Nov-15,18
90,Pull Wire @ 18th Floor,15,20-Nov-15,9-Dec-15,18
100,Firestopping & Inspections @ 18th Floor,5,10-Dec-15,15-Jan-16,18
110,Sheetrock & Tape Walls & Celings @ 18th Floor,15,15-Dec-15,6-Jan-16,18
120,Prime Paint @ 18th Floor,4,,,18
130,Install Mechanical Finishes @ 18th Floor,2,12-Jan-16,13-Jan-16,18
140,Install Sprinkler Heads @ 18th Floor,4,12-Jan-16,14-Jan-16,18
150,Install Plumbing Finishes @ 18th Floor,1,15-Jan-16,15-Jan-16,18
160,Install Electrical Finishes @ 18th Floor,4,12-Jan-16,15-Jan-16,18
170,Install Lighting @ 18th Floor,4,13-Jan-16,18-Jan-16,18
180,"Install Vanity, Sink & Shower Enclosure @ 18th Floor",6,,,18
190,Tile Bathroom Floors & Walls @ 18th Floor,12,22-Feb-16,8-Mar-16,18
200,Install Kitchen Cabinets @ 18th Floor,8,,,18
210,Install Kitchen Counters  @ 18th Floor,5,,,18
220,Install Kitchen Sink @ 18th Floor,3,,,18
230,Install Flooring & Carpet @ 18th Floor,6,,,18
240,Install Kitchen Appliances @ 18th Floor,5,,,18
250,Install Architectural Finishes & Trim  @ 18th Floor,10,,,18
260,Install Doors @ 18th Floor,5,,,18
270,Install Corridor Carpet @ 18th Floor,3,,,18
280,Perform Plumbing & Sprinkler Finish Inspection @ 18th Floor,1,,,18
290,Final Paint Coat on Walls & Trim @ 18th Floor,4,,,18
300,Punchlist  @ 18th Floor,5,,,18
10,Layout & Top Track @ 19th Floor,6,27-Oct-15,3-Nov-15,19
20,Rough Duct Work @ 19th Floor,5,2-Nov-15,4-Nov-15,19
30,Rough Mechanical Piping @ 19th Floor,5,2-Nov-15,4-Nov-15,19
40,Rough Plumbing @ 19th Floor,5,2-Nov-15,4-Nov-15,19
50,Rough Sprinkler @ 19th Floor,5,2-Nov-15,4-Nov-15,19
60,Rough Electrical @ 19th Floor,5,2-Nov-15,4-Nov-15,19
70,Frame Walls & Ceilings @ 19th Floor,5,18-Nov-15,2-Dec-15,19
80,Install Plumbing Frames & Crotons @ 19th Floor,5,3-Dec-15,9-Dec-15,19
90,Pull Wire @ 19th Floor,15,10-Dec-15,29-Dec-15,19
100,Firestopping & Inspections @ 19th Floor,5,30-Dec-15,21-Jan-16,19
110,Sheetrock & Tape Walls & Celings @ 19th Floor,15,5-Jan-16,21-Jan-16,19
120,Prime Paint @ 19th Floor,4,18-Jan-16,21-Jan-16,19
130,Install Mechanical Finishes @ 19th Floor,2,18-Jan-16,19-Jan-16,19
140,Install Sprinkler Heads @ 19th Floor,4,18-Jan-16,20-Jan-16,19
150,Install Plumbing Finishes @ 19th Floor,1,22-Jan-16,22-Jan-16,19
160,Install Electrical Finishes @ 19th Floor,4,18-Jan-16,21-Jan-16,19
170,Install Lighting @ 19th Floor,4,18-Jan-16,21-Jan-16,19
180,"Install Vanity, Sink & Shower Enclosure @ 19th Floor",6,,,19
190,Tile Bathroom Floors & Walls @ 19th Floor,12,4-Feb-16,19-Feb-16,19
200,Install Kitchen Cabinets @ 19th Floor,8,,,19
210,Install Kitchen Counters  @ 19th Floor,5,,,19
220,Install Kitchen Sink @ 19th Floor,3,,,19
230,Install Flooring & Carpet @ 19th Floor,6,,,19
240,Install Kitchen Appliances @ 19th Floor,5,,,19
250,Install Architectural Finishes & Trim  @ 19th Floor,10,,,19
260,Install Doors @ 19th Floor,5,,,19
270,Install Corridor Carpet @ 19th Floor,3,,,19
280,Perform Plumbing & Sprinkler Finish Inspection @ 19th Floor,1,,,19
290,Final Paint Coat on Walls & Trim @ 19th Floor,4,,,19
300,Punchlist  @ 19th Floor,5,,,19
10,Layout & Top Track @ 20th Floor,6,2-Nov-15,10-Nov-15,20
20,Rough Duct Work @ 20th Floor,5,6-Nov-15,11-Nov-15,20
30,Rough Mechanical Piping @ 20th Floor,5,6-Nov-15,11-Nov-15,20
40,Rough Plumbing @ 20th Floor,5,6-Nov-15,11-Nov-15,20
50,Rough Sprinkler @ 20th Floor,5,6-Nov-15,11-Nov-15,20
60,Rough Electrical @ 20th Floor,5,6-Nov-15,11-Nov-15,20
70,Frame Walls & Ceilings @ 20th Floor,5,24-Nov-15,8-Dec-15,20
80,Install Plumbing Frames & Crotons @ 20th Floor,5,9-Dec-15,15-Dec-15,20
90,Pull Wire @ 20th Floor,15,16-Dec-15,5-Jan-16,20
100,Firestopping & Inspections @ 20th Floor,5,6-Jan-16,27-Jan-16,20
110,Sheetrock & Tape Walls & Celings @ 20th Floor,15,11-Jan-16,27-Jan-16,20
120,Prime Paint @ 20th Floor,4,22-Jan-16,27-Jan-16,20
130,Install Mechanical Finishes @ 20th Floor,2,22-Jan-16,25-Jan-16,20
140,Install Sprinkler Heads @ 20th Floor,4,22-Jan-16,26-Jan-16,20
150,Install Plumbing Finishes @ 20th Floor,1,27-Jan-16,27-Jan-16,20
160,Install Electrical Finishes @ 20th Floor,4,22-Jan-16,27-Jan-16,20
170,Install Lighting @ 20th Floor,4,22-Jan-16,27-Jan-16,20
180,"Install Vanity, Sink & Shower Enclosure @ 20th Floor",6,,,20
190,Tile Bathroom Floors & Walls @ 20th Floor,12,,,20
200,Install Kitchen Cabinets @ 20th Floor,8,,,20
210,Install Kitchen Counters  @ 20th Floor,5,,,20
220,Install Kitchen Sink @ 20th Floor,3,,,20
230,Install Flooring & Carpet @ 20th Floor,6,,,20
240,Install Kitchen Appliances @ 20th Floor,5,,,20
250,Install Architectural Finishes & Trim  @ 20th Floor,10,,,20
260,Install Doors @ 20th Floor,5,,,20
270,Install Corridor Carpet @ 20th Floor,3,,,20
280,Perform Plumbing & Sprinkler Finish Inspection @ 20th Floor,1,,,20
290,Final Paint Coat on Walls & Trim @ 20th Floor,4,,,20
300,Punchlist  @ 20th Floor,5,,,20
10,Layout & Top Track @ 21st Floor,6,6-Nov-15,16-Nov-15,21
20,Rough Duct Work @ 21st Floor,5,13-Nov-15,17-Nov-15,21
30,Rough Mechanical Piping @ 21st Floor,5,13-Nov-15,17-Nov-15,21
40,Rough Plumbing @ 21st Floor,5,13-Nov-15,17-Nov-15,21
50,Rough Sprinkler @ 21st Floor,5,13-Nov-15,17-Nov-15,21
60,Rough Electrical @ 21st Floor,5,13-Nov-15,17-Nov-15,21
70,Frame Walls & Ceilings @ 21st Floor,5,1-Dec-15,14-Dec-15,21
80,Install Plumbing Frames & Crotons @ 21st Floor,5,15-Dec-15,21-Dec-15,21
90,Pull Wire @ 21st Floor,15,22-Dec-15,11-Jan-16,21
100,Firestopping & Inspections @ 21st Floor,5,12-Jan-16,2-Feb-16,21
110,Sheetrock & Tape Walls & Celings @ 21st Floor,15,15-Jan-16,2-Feb-16,21
120,Prime Paint @ 21st Floor,4,28-Jan-16,2-Feb-16,21
130,Install Mechanical Finishes @ 21st Floor,2,28-Jan-16,29-Jan-16,21
140,Install Sprinkler Heads @ 21st Floor,4,28-Jan-16,1-Feb-16,21
150,Install Plumbing Finishes @ 21st Floor,1,2-Feb-16,2-Feb-16,21
160,Install Electrical Finishes @ 21st Floor,4,28-Jan-16,2-Feb-16,21
170,Install Lighting @ 21st Floor,4,28-Jan-16,2-Feb-16,21
180,"Install Vanity, Sink & Shower Enclosure @ 21st Floor",6,,,21
190,Tile Bathroom Floors & Walls @ 21st Floor,12,,,21
200,Install Kitchen Cabinets @ 21st Floor,8,,,21
210,Install Kitchen Counters  @ 21st Floor,5,,,21
220,Install Kitchen Sink @ 21st Floor,3,,,21
230,Install Flooring & Carpet @ 21st Floor,6,,,21
240,Install Kitchen Appliances @ 21st Floor,5,,,21
250,Install Architectural Finishes & Trim  @ 21st Floor,10,,,21
260,Install Doors @ 21st Floor,5,,,21
270,Install Corridor Carpet @ 21st Floor,3,,,21
280,Perform Plumbing & Sprinkler Finish Inspection @ 21st Floor,1,,,21
290,Final Paint Coat on Walls & Trim @ 21st Floor,4,,,21
300,Punchlist  @ 21st Floor,5,,,21
10,Layout & Top Track @ 22nd Floor,6,13-Nov-15,20-Nov-15,22
20,Rough Duct Work @ 22nd Floor,5,19-Nov-15,23-Nov-15,22
30,Rough Mechanical Piping @ 22nd Floor,5,19-Nov-15,23-Nov-15,22
40,Rough Plumbing @ 22nd Floor,5,19-Nov-15,23-Nov-15,22
50,Rough Sprinkler @ 22nd Floor,5,19-Nov-15,23-Nov-15,22
60,Rough Electrical @ 22nd Floor,5,19-Nov-15,23-Nov-15,22
70,Frame Walls & Ceilings @ 22nd Floor,5,7-Dec-15,18-Dec-15,22
80,Install Plumbing Frames & Crotons @ 22nd Floor,5,21-Dec-15,28-Dec-15,22
90,Pull Wire @ 22nd Floor,15,29-Dec-15,15-Jan-16,22
100,Firestopping & Inspections @ 22nd Floor,5,18-Jan-16,8-Feb-16,22
110,Sheetrock & Tape Walls & Celings @ 22nd Floor,15,21-Jan-16,8-Feb-16,22
120,Prime Paint @ 22nd Floor,4,3-Feb-16,8-Feb-16,22
130,Install Mechanical Finishes @ 22nd Floor,2,3-Feb-16,4-Feb-16,22
140,Install Sprinkler Heads @ 22nd Floor,4,3-Feb-16,5-Feb-16,22
150,Install Plumbing Finishes @ 22nd Floor,1,8-Feb-16,8-Feb-16,22
160,Install Electrical Finishes @ 22nd Floor,4,3-Feb-16,8-Feb-16,22
170,Install Lighting @ 22nd Floor,4,3-Feb-16,8-Feb-16,22
180,"Install Vanity, Sink & Shower Enclosure @ 22nd Floor",6,,,22
190,Tile Bathroom Floors & Walls @ 22nd Floor,12,,,22
200,Install Kitchen Cabinets @ 22nd Floor,8,,,22
210,Install Kitchen Counters  @ 22nd Floor,5,,,22
220,Install Kitchen Sink @ 22nd Floor,3,,,22
230,Install Flooring & Carpet @ 22nd Floor,6,,,22
240,Install Kitchen Appliances @ 22nd Floor,5,,,22
250,Install Architectural Finishes & Trim  @ 22nd Floor,10,,,22
260,Install Doors @ 22nd Floor,5,,,22
270,Install Corridor Carpet @ 22nd Floor,3,,,22
280,Perform Plumbing & Sprinkler Finish Inspection @ 22nd Floor,1,,,22
290,Final Paint Coat on Walls & Trim @ 22nd Floor,4,,,22
300,Punchlist  @ 22nd Floor,5,,,22
10,Layout & Top Track @ 23rd Floor,6,25-Jan-16,1-Feb-16,23
20,Rough Duct Work @ 23rd Floor,5,29-Jan-16,2-Feb-16,23
30,Rough Mechanical Piping @ 23rd Floor,5,29-Jan-16,2-Feb-16,23
40,Rough Plumbing @ 23rd Floor,5,29-Jan-16,2-Feb-16,23
50,Rough Sprinkler @ 23rd Floor,5,29-Jan-16,2-Feb-16,23
60,Rough Electrical @ 23rd Floor,5,29-Jan-16,2-Feb-16,23
70,Frame Walls & Ceilings @ 23rd Floor,5,15-Feb-16,26-Feb-16,23
80,Install Plumbing Frames & Crotons @ 23rd Floor,5,29-Feb-16,4-Mar-16,23
90,Pull Wire @ 23rd Floor,15,7-Mar-16,23-Mar-16,23
100,Firestopping & Inspections @ 23rd Floor,5,24-Mar-16,28-Mar-16,23
110,Sheetrock & Tape Walls & Celings @ 23rd Floor,15,,,23
120,Prime Paint @ 23rd Floor,4,,,23
130,Install Mechanical Finishes @ 23rd Floor,2,,,23
140,Install Sprinkler Heads @ 23rd Floor,4,,,23
150,Install Plumbing Finishes @ 23rd Floor,1,,,23
160,Install Electrical Finishes @ 23rd Floor,4,,,23
170,Install Lighting @ 23rd Floor,4,,,23
180,"Install Vanity, Sink & Shower Enclosure @ 23rd Floor",6,,,23
190,Tile Bathroom Floors & Walls @ 23rd Floor,12,,,23
200,Install Kitchen Cabinets @ 23rd Floor,8,,,23
210,Install Kitchen Counters  @ 23rd Floor,5,,,23
220,Install Kitchen Sink @ 23rd Floor,3,,,23
230,Install Flooring & Carpet @ 23rd Floor,6,,,23
240,Install Kitchen Appliances @ 23rd Floor,5,,,23
250,Install Architectural Finishes & Trim  @ 23rd Floor,10,,,23
260,Install Doors @ 23rd Floor,5,,,23
270,Install Corridor Carpet @ 23rd Floor,3,,,23
280,Perform Plumbing & Sprinkler Finish Inspection @ 23rd Floor,1,,,23
290,Final Paint Coat on Walls & Trim @ 23rd Floor,4,,,23
300,Punchlist  @ 23rd Floor,5,,,23
10,Layout & Top Track @ 24th Floor,6,15-Feb-16,22-Feb-16,24
20,Rough Duct Work @ 24th Floor,5,19-Feb-16,23-Feb-16,24
30,Rough Mechanical Piping @ 24th Floor,5,19-Feb-16,23-Feb-16,24
40,Rough Plumbing @ 24th Floor,5,19-Feb-16,23-Feb-16,24
50,Rough Sprinkler @ 24th Floor,5,19-Feb-16,23-Feb-16,24
60,Rough Electrical @ 24th Floor,5,19-Feb-16,23-Feb-16,24
70,Frame Walls & Ceilings @ 24th Floor,5,7-Mar-16,18-Mar-16,24
80,Install Plumbing Frames & Crotons @ 24th Floor,5,21-Mar-16,25-Mar-16,24
90,Pull Wire @ 24th Floor,15,28-Mar-16,13-Apr-16,24
100,Firestopping & Inspections @ 24th Floor,5,14-Apr-16,18-Apr-16,24
110,Sheetrock & Tape Walls & Celings @ 24th Floor,15,,,24
120,Prime Paint @ 24th Floor,4,,,24
130,Install Mechanical Finishes @ 24th Floor,2,,,24
140,Install Sprinkler Heads @ 24th Floor,4,,,24
150,Install Plumbing Finishes @ 24th Floor,1,,,24
160,Install Electrical Finishes @ 24th Floor,4,,,24
170,Install Lighting @ 24th Floor,4,,,24
180,"Install Vanity, Sink & Shower Enclosure @ 24th Floor",6,,,24
190,Tile Bathroom Floors & Walls @ 24th Floor,12,,,24
200,Install Kitchen Cabinets @ 24th Floor,8,,,24
210,Install Kitchen Counters  @ 24th Floor,5,,,24
220,Install Kitchen Sink @ 24th Floor,3,,,24
230,Install Flooring & Carpet @ 24th Floor,6,,,24
240,Install Kitchen Appliances @ 24th Floor,5,,,24
250,Install Architectural Finishes & Trim  @ 24th Floor,10,,,24
260,Install Doors @ 24th Floor,5,,,24
270,Install Corridor Carpet @ 24th Floor,3,,,24
280,Perform Plumbing & Sprinkler Finish Inspection @ 24th Floor,1,,,24
290,Final Paint Coat on Walls & Trim @ 24th Floor,4,,,24
300,Punchlist  @ 24th Floor,5,,,24
10,Layout & Top Track @ 25th Floor,6,7-Mar-16,14-Mar-16,25
20,Rough Duct Work @ 25th Floor,5,11-Mar-16,15-Mar-16,25
30,Rough Mechanical Piping @ 25th Floor,5,42440,42444,25
40,Rough Plumbing @ 25th Floor,5,11-Mar-16,15-Mar-16,25
