ID,Name,Duration,AS,AF,FloorID
40,Rough Plumbing @ Pre-function Space,10,19-Oct-15,30-Oct-15,PFS
50,Rough Sprinkler @ Pre-function Space,10,19-Oct-15,,PFS
290,Final Paint @ Public Restrooms,4,,,PR
100,Firestopping & Inspections @ Public Restrooms,5,23-Feb-16,1-Jun-17,PR
123,Flash Patch Floor @ Public Restrooms,5,2-Mar-16,9-Mar-16,PR
17,Frame & Core Board Risers/Stairs/Elevators @ Public Restrooms,10,5-Feb-16,5-Feb-16,PR
70,Frame Walls & Ceilings @ Public Restrooms,10,8-Feb-16,23-Mar-16,PR
250,Install Architectural Finishes & Trim  @ Public Restrooms,10,,,PR
185,Install Ceiling Tile @ Public Restrooms,5,,,PR
270,Install Corridor Flooring @ Public Restrooms,5,,,PR
160,Install Electrical Finishes @ Public Restrooms,5,,,PR
173,Install FA Devices @ Public Restrooms,5,28-Mar-16,1-Apr-16,PR
230,Install Flooring @ Public Restrooms,6,,,PR
170,Install Lighting @ Public Restrooms,4,24-Mar-16,25-Mar-16,PR
130,Install Mechanical Finishes @ Public Restrooms,2,14-Apr-16,25-May-16,PR
150,Install Plumbing Finishes @ Public Restrooms,2,8-Apr-16,13-Apr-16,PR
80,Install Plumbing Frames & Crotons @ Public Restrooms,5,15-Feb-16,16-Feb-16,PR
140,Install Sprinkler Heads @ Public Restrooms,4,4-Apr-16,7-Apr-16,PR
10,Layout & Top Track @ Public Restrooms,5,18-Jan-16,20-Jan-16,PR
280,Perform Plumbing & Sprinkler Finish Inspection @ Public Restrooms,1,,,PR
120,Prime Paint @ Public Restrooms,5,,,PR
90,Pull Wire @ Public Restrooms,15,17-Feb-16,22-Feb-16,PR
300,Punchlist  @ Public Restrooms,5,,,PR
20,Rough Duct Work @ Public Restrooms,10,26-Jan-16,27-Jan-16,PR
60,Rough Electrical/FA/BMS @ Public Restrooms,10,3-Feb-16,3-Feb-16,PR
30,Rough Mechanical Piping @ Public Restrooms,10,28-Jan-16,4-Feb-16,PR
40,Rough Plumbing @ Public Restrooms,10,1-Feb-16,2-Feb-16,PR
50,Rough Sprinkler @ Public Restrooms,10,21-Jan-16,25-Jan-16,PR
110,Sheetrock & Tape Walls & Celings @ Public Restrooms,15,26-Feb-16,1-Mar-16,PR
