id,status,wbs,act_name,duration,start,finish,floor_id
NA.LNG017,Not Started,BH.BL-4.115 Nassau1.Floors.4,Frame & Core Board Risers/Stairs/Elevators @ Lounge,10,,,LNG
NA.LNG020,Not Started,BH.BL-4.115 Nassau1.Floors.4,Rough Duct Work @ Lounge,10,,,LNG
NA.LNG050,Not Started,BH.BL-4.115 Nassau1.Floors.4,Rough Sprinkler @ Lounge,10,,,LNG
NA.LNG070,Not Started,BH.BL-4.115 Nassau1.Floors.4,Frame Walls & Ceilings @ Lounge,10,,,LNG
NA.LNG080,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Plumbing Frames & Crotons @ Lounge,5,,,LNG
NA.LNG090,Not Started,BH.BL-4.115 Nassau1.Floors.4,Pull Wire @ Lounge,15,,,LNG
NA.LNG100,Not Started,BH.BL-4.115 Nassau1.Floors.4,Firestopping & Inspections @ Lounge,5,,,LNG
NA.LNG110,Not Started,BH.BL-4.115 Nassau1.Floors.4,Sheetrock & Tape Walls & Celings @ Lounge,15,,,LNG
NA.LNG120,Not Started,BH.BL-4.115 Nassau1.Floors.4,Prime Paint @ Lounge,5,,,LNG
NA.LNG123,Not Started,BH.BL-4.115 Nassau1.Floors.4,Flash Patch Floor @ Lounge,5,,,LNG
NA.LNG130,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Mechanical Finishes @ Lounge,2,,,LNG
NA.LNG140,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Sprinkler Heads @ Lounge,4,,,LNG
NA.LNG150,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Plumbing Finishes @ Lounge,2,,,LNG
NA.LNG160,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Electrical Finishes @ Lounge,5,,,LNG
NA.LNG170,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Lighting @ Lounge,4,,,LNG
NA.LNG173,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install FA Devices @ Lounge,5,,,LNG
NA.LNG177,Not Started,BH.BL-4.115 Nassau1.Floors.4,Tile Bar Surround Floors @ Lounge,5,,,LNG
NA.LNG185,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Ceiling Tile @ Lounge,5,,,LNG
NA.LNG250,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Architectural Finishes & Trim  @ Lounge,10,,,LNG
NA.LNG253,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install & Protect Wood Flooring @ Lounge,5,,,LNG
NA.LNG257,Not Started,BH.BL-4.115 Nassau1.Floors.4,Set Bar & Built in Furniture @ Lounge,15,,,LNG
NA.LNG260,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Doors @ Lounge,5,,,LNG
NA.LNG270,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Corridor Flooring @ Lounge,5,,,LNG
NA.LNG280,Not Started,BH.BL-4.115 Nassau1.Floors.4,Perform Plumbing & Sprinkler Finish Inspection @ Lounge,1,,,LNG
NA.LNG290,Not Started,BH.BL-4.115 Nassau1.Floors.4,Final Paint @ Lounge,4,,,LNG
NA.LNG300,Not Started,BH.BL-4.115 Nassau1.Floors.4,Punchlist  @ Lounge,5,,,LNG
NA.PFS010,Not Started,BH.BL-4.115 Nassau1.Floors.4,Layout & Top Track @ Pre-function Space,5,15-Oct-15,,PFS
NA.PFS012,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install CMU Walls @ Pre-function Space,15,19-Oct-15,,PFS
NA.PFS017,Not Started,BH.BL-4.115 Nassau1.Floors.4,Frame & Core Board Risers/Stairs/Elevators @ Pre-function Space,10,19-Oct-15,,PFS
NA.PFS020,Not Started,BH.BL-4.115 Nassau1.Floors.4,Rough Duct Work @ Pre-function Space,10,19-Oct-15,,PFS
NA.PFS030,Not Started,BH.BL-4.115 Nassau1.Floors.4,Rough Mechanical Piping @ Pre-function Space,10,19-Oct-15,31-Dec-15,PFS
NA.PFS040,Not Started,BH.BL-4.115 Nassau1.Floors.4,Rough Plumbing @ Pre-function Space,10,19-Oct-15,30-Oct-15,PFS
NA.PFS050,Not Started,BH.BL-4.115 Nassau1.Floors.4,Rough Sprinkler @ Pre-function Space,10,19-Oct-15,,PFS
NA.PFS060,Not Started,BH.BL-4.115 Nassau1.Floors.4,Rough Electrical/FA/BMS @ Pre-function Space,10,10-Nov-15,11-Nov-15,PFS
