pred_id,succ_id,pred_type,pred_status,succ_status,lag
NA.CL123,NA.CL190,FS,Not Started,Not Started,0
NA.CL127,NA.CL197,FS,Not Started,Not Started,0
NA.CL130,NA.CL140,FS,Not Started,Not Started,0
NA.CL140,NA.CL150,FS,Not Started,Not Started,0
NA.CL150,NA.CL160,FS,Not Started,Not Started,0
NA.CL160,NA.CL170,FS,Not Started,Not Started,0
NA.CL170,NA.CL250,FS,Not Started,Not Started,0
NA.CL175,NA.CL190,FS,Not Started,Not Started,0
NA.CL180,NA.CL190,FS,Not Started,Not Started,0
NA.CL190,NA.CL160,FS,Not Started,Not Started,0
NA.CL194,NA.CL250,FS,Not Started,Not Started,0
NA.CL197,NA.CL245,FS,Not Started,Not Started,0
NA.CL200,NA.CL210,FS,Not Started,Not Started,0
NA.CL210,NA.CL220,FS,Not Started,Not Started,0
NA.CL220,NA.CL240,FS,Not Started,Not Started,0
NA.CL230,NA.CL260,FS,Not Started,Not Started,0
NA.CL240,NA.CL230,FS,Not Started,Not Started,0
NA.CL245,NA.CL230,FS,Not Started,Not Started,0
NA.CL250,NA.CL290,FS,Not Started,Not Started,0
NA.CL260,NA.CL290,FS,Not Started,Not Started,0
NA.CL270,NA.CL290,FS,Not Started,Not Started,0
NA.CL280,NA.CL300,FF,Not Started,Not Started,0
NA.CL290,NA.CL300,FF,Not Started,Not Started,0
NA.CL295,NA.CL300,FF,Not Started,Not Started,0
NA.CL300,NA.1L300,FF,Not Started,Not Started,0
NA.CL010,NA.CL080,FS,Not Started,Not Started,0
NA.CL012,NA.CL020,FS,Not Started,Not Started,0
NA.CL020,NA.CL030,FF,Not Started,Not Started,2
NA.CL030,NA.CL040,FF,Not Started,Not Started,2
NA.CL040,NA.CL050,FF,Not Started,Not Started,2
NA.CL050,NA.CL060,FF,Not Started,Not Started,2
NA.CL060,NA.CL100,FS,Not Started,Not Started,0
NA.CL070,NA.CL080,FS,Not Started,Not Started,0
NA.CL090,NA.CL170,FS,Not Started,Not Started,0
NA.CL110,NA.CL123,FS,Not Started,Not Started,0
NA.CL120,NA.CL200,FS,Not Started,Not Started,0
NA.CL123,NA.CL230,FS,Not Started,Not Started,0
NA.CL127,NA.CL250,FS,Not Started,Not Started,0
NA.CL140,NA.CL280,FS,Not Started,Not Started,0
NA.CL150,NA.CL280,FS,Not Started,Not Started,0
NA.CL160,NA.CL250,FS,Not Started,Not Started,0
NA.CL190,NA.CL260,FS,Not Started,Not Started,0
NA.CL197,NA.CL250,FS,Not Started,Not Started,0
NA.CL230,NA.CL295,FS,Not Started,Not Started,0
NA.CL260,NA.CL270,FS,Not Started,Not Started,0
NA.CL010,NA.CL012,FS,Not Started,Not Started,0
NA.CL060,NA.CL090,FS,Not Started,Not Started,0
NA.CL120,NA.CL130,FS,Not Started,Not Started,0
NA.CL123,NA.CL295,FS,Not Started,Not Started,0
NA.CL190,NA.CL290,FS,Not Started,Not Started,0
NA.CL010,NA.1L010,FS,Not Started,Not Started,0
NA.CL012,NA.1L012,FS,Not Started,Not Started,0
NA.CL015,NA.1L015,FS,Not Started,Not Started,0
NA.CL017,NA.1L070,FS,Not Started,Not Started,0
NA.CL020,NA.1L020,FS,Not Started,Not Started,0
NA.CL030,NA.1L030,FS,Not Started,Not Started,0
NA.CL040,NA.1L040,FS,Not Started,Not Started,0
NA.CL050,NA.1L050,FS,Not Started,Not Started,0
NA.CL060,NA.1L060,FS,Not Started,Not Started,0
NA.CL070,NA.1L070,FS,Not Started,Not Started,0
NA.CL100,NA.1L100,FS,Not Started,Not Started,0
NA.CL110,NA.1L110,SS,Not Started,Not Started,5
NA.CL120,NA.CL127,FS,Not Started,Not Started,0
NA.CL123,NA.1L123,FS,Not Started,Not Started,0
NA.CL140,NA.1L140,FS,Not Started,Not Started,0
NA.CL150,NA.1L150,FS,Not Started,Not Started,0
NA.CL160,NA.1L160,FS,Not Started,Not Started,0
NA.CL170,NA.1L170,FS,Not Started,Not Started,0
NA.CL190,NA.CL197,FS,Not Started,Not Started,0
NA.CL194,NA.1L194,FS,Not Started,Not Started,0
NA.CL200,NA.1L200,SS,Not Started,Not Started,4
NA.CL210,NA.1L210,FS,Not Started,Not Started,0
NA.CL220,NA.1L220,FS,Not Started,Not Started,0
NA.CL230,NA.1L230,FS,Not Started,Not Started,0
NA.CL250,NA.1L250,SS,Not Started,Not Started,5
NA.CL270,NA.1L270,FS,Not Started,Not Started,0
NA.CL120,NA.CL175,FS,Not Started,Not Started,0
NA.CL190,NA.CL245,FS,Not Started,Not Started,0
NA.CL190,NA.1L190,SS,Not Started,Not Started,6
NA.1L010,NA.1L020,FS,Not Started,Not Started,0
NA.1L012,NA.1L015,FS,Not Started,Not Started,0
NA.1L015,NA.1L110,FF,Not Started,Not Started,5
NA.1L017,NA.1L070,FS,Not Started,Not Started,0
NA.1L020,NA.1L030,SS,Not Started,Not Started,2
NA.1L030,NA.1L040,SS,Not Started,Not Started,2
NA.1L040,NA.1L050,SS,Not Started,Not Started,2
NA.1L050,NA.1L060,SS,Not Started,Not Started,2
NA.1L060,NA.1L070,FS,Not Started,Not Started,0
NA.1L070,NA.1L110,FS,Not Started,Not Started,0
NA.1L080,NA.1L110,FS,Not Started,Not Started,0
NA.1L090,NA.1L160,FS,Not Started,Not Started,0
NA.1L100,NA.1L110,FS,Not Started,Not Started,0
NA.1L110,NA.1L120,FS,Not Started,Not Started,0
NA.1L120,NA.1L180,FS,Not Started,Not Started,0
NA.1L123,NA.1L190,FS,Not Started,Not Started,0
NA.1L127,NA.1L197,FS,Not Started,Not Started,0
NA.1L130,NA.1L140,FS,Not Started,Not Started,0
NA.1L140,NA.1L150,FS,Not Started,Not Started,0
NA.1L150,NA.1L160,FS,Not Started,Not Started,0
NA.1L160,NA.1L170,FS,Not Started,Not Started,0
NA.1L170,NA.1L250,FS,Not Started,Not Started,0
NA.1L175,NA.1L190,FS,Not Started,Not Started,0
NA.1L180,NA.1L190,FS,Not Started,Not Started,0
NA.1L190,NA.1L160,FS,Not Started,Not Started,0
NA.1L194,NA.1L250,FS,Not Started,Not Started,0
NA.1L197,NA.1L245,FS,Not Started,Not Started,0
NA.1L200,NA.1L210,FS,Not Started,Not Started,0
NA.1L210,NA.1L220,FS,Not Started,Not Started,0
NA.1L220,NA.1L240,FS,Not Started,Not Started,0
NA.1L230,NA.1L260,FS,Not Started,Not Started,0
NA.1L240,NA.1L230,FS,Not Started,Not Started,0
NA.1L245,NA.1L230,FS,Not Started,Not Started,0
NA.1L250,NA.1L290,FS,Not Started,Not Started,0
NA.1L260,NA.1L290,FS,Not Started,Not Started,0
NA.1L270,NA.1L290,FS,Not Started,Not Started,0
NA.1L280,NA.1L300,FF,Not Started,Not Started,0
NA.1L290,NA.1L300,FF,Not Started,Not Started,0
NA.1L295,NA.1L300,FF,Not Started,Not Started,0
NA.1L300,NA.03300,FF,Not Started,Not Started,0
NA.1L010,NA.1L080,FS,Not Started,Not Started,0
NA.1L012,NA.1L020,FS,Not Started,Not Started,0
NA.1L020,NA.1L030,FF,Not Started,Not Started,2
NA.1L030,NA.1L040,FF,Not Started,Not Started,2
NA.1L040,NA.1L050,FF,Not Started,Not Started,2
NA.1L050,NA.1L060,FF,Not Started,Not Started,2
NA.1L060,NA.1L100,FS,Not Started,Not Started,0
NA.1L070,NA.1L080,FS,Not Started,Not Started,0
NA.1L090,NA.1L170,FS,Not Started,Not Started,0
NA.1L110,NA.1L123,FS,Not Started,Not Started,0
NA.1L120,NA.1L200,FS,Not Started,Not Started,0
NA.1L123,NA.1L230,FS,Not Started,Not Started,0
NA.1L127,NA.1L250,FS,Not Started,Not Started,0
NA.1L140,NA.1L280,FS,Not Started,Not Started,0
NA.1L150,NA.1L280,FS,Not Started,Not Started,0
NA.1L160,NA.1L250,FS,Not Started,Not Started,0
NA.1L190,NA.1L260,FS,Not Started,Not Started,0
NA.1L197,NA.1L250,FS,Not Started,Not Started,0
NA.1L230,NA.1L295,FS,Not Started,Not Started,0
NA.1L260,NA.1L270,FS,Not Started,Not Started,0
NA.1L010,NA.1L012,FS,Not Started,Not Started,0
NA.1L060,NA.1L090,FS,Not Started,Not Started,0
NA.1L120,NA.1L130,FS,Not Started,Not Started,0
NA.1L123,NA.1L295,FS,Not Started,Not Started,0
NA.1L190,NA.1L290,FS,Not Started,Not Started,0
NA.1L010,NA.03010,FS,Not Started,Not Started,0
NA.1L012,NA.03012,FS,Not Started,Not Started,0
NA.1L015,NA.03015,FS,Not Started,Not Started,0
NA.1L017,NA.03070,FS,Not Started,Not Started,0
NA.1L020,NA.03020,FS,Not Started,Not Started,0
NA.1L030,NA.03030,FS,Not Started,Not Started,0
NA.1L040,NA.03040,FS,Not Started,Not Started,0
NA.1L050,NA.03050,FS,Not Started,Not Started,0
NA.1L060,NA.03060,FS,Not Started,Not Started,0
NA.1L070,NA.03070,FS,Not Started,Not Started,0
NA.1L100,NA.03100,FS,Not Started,Not Started,0
NA.1L110,NA.03110,SS,Not Started,Not Started,5
NA.1L120,NA.1L127,FS,Not Started,Not Started,0
NA.1L123,NA.03123,FS,Not Started,Not Started,0
NA.1L140,NA.03140,FS,Not Started,Not Started,0
NA.1L150,NA.03150,FS,Not Started,Not Started,0
NA.1L160,NA.03160,FS,Not Started,Not Started,0
NA.1L170,NA.03170,FS,Not Started,Not Started,0
NA.1L190,NA.1L197,FS,Not Started,Not Started,0
NA.1L194,NA.03194,FS,Not Started,Not Started,0
NA.1L200,NA.03200,SS,Not Started,Not Started,4
NA.1L210,NA.03210,FS,Not Started,Not Started,0
NA.1L220,NA.03220,FS,Not Started,Not Started,0
NA.1L230,NA.03230,FS,Not Started,Not Started,0
NA.1L250,NA.03250,SS,Not Started,Not Started,5
NA.1L270,NA.03270,FS,Not Started,Not Started,0
NA.1L120,NA.1L175,FS,Not Started,Not Started,0
NA.1L190,NA.1L245,FS,Not Started,Not Started,0
NA.1L190,NA.03190,SS,Not Started,Not Started,6
NA.03010,NA.03020,FS,Not Started,Not Started,0
NA.03012,NA.03015,FS,Not Started,Not Started,0
NA.03015,NA.03110,FF,Not Started,Not Started,5
NA.03017,NA.03070,FS,Not Started,Not Started,0
NA.03020,NA.03030,SS,Not Started,Not Started,2
NA.03030,NA.03040,SS,Not Started,Not Started,2
NA.03040,NA.03050,SS,Not Started,Not Started,2
NA.03050,NA.03060,SS,Not Started,Not Started,2
NA.03060,NA.03070,FS,Not Started,Not Started,0
NA.03070,NA.03110,FS,Not Started,Not Started,0
NA.03080,NA.03110,FS,Not Started,Not Started,0
NA.03090,NA.03160,FS,Not Started,Not Started,0
NA.03100,NA.03110,FS,Not Started,Not Started,0
NA.03110,NA.03120,FS,Not Started,Not Started,0
NA.03120,NA.03180,FS,Not Started,Not Started,0
NA.03123,NA.03190,FS,Not Started,Not Started,0
NA.03127,NA.03197,FS,Not Started,Not Started,0
NA.03130,NA.03140,FS,Not Started,Not Started,0
NA.03140,NA.03150,FS,Not Started,Not Started,0
NA.03150,NA.03160,FS,Not Started,Not Started,0
NA.03160,NA.03170,FS,Not Started,Not Started,0
NA.03170,NA.03250,FS,Not Started,Not Started,0
NA.03175,NA.03190,FS,Not Started,Not Started,0
NA.03180,NA.03190,FS,Not Started,Not Started,0
NA.03190,NA.03160,FS,Not Started,Not Started,0
NA.03194,NA.03250,FS,Not Started,Not Started,0
NA.03197,NA.03245,FS,Not Started,Not Started,0
NA.03200,NA.03210,FS,Not Started,Not Started,0
NA.03210,NA.03220,FS,Not Started,Not Started,0
NA.03220,NA.03240,FS,Not Started,Not Started,0
NA.03230,NA.03260,FS,Not Started,Not Started,0
NA.03240,NA.03230,FS,Not Started,Not Started,0
NA.03245,NA.03230,FS,Not Started,Not Started,0
NA.03250,NA.03290,FS,Not Started,Not Started,0
NA.03260,NA.03290,FS,Not Started,Not Started,0
NA.03270,NA.03290,FS,Not Started,Not Started,0
NA.03280,NA.03300,FF,Not Started,Not Started,0
NA.03290,NA.03300,FF,Not Started,Not Started,0
NA.03295,NA.03300,FF,Not Started,Not Started,0
NA.03010,NA.03080,FS,Not Started,Not Started,0
NA.03012,NA.03020,FS,Not Started,Not Started,0
NA.03020,NA.03030,FF,Not Started,Not Started,2
NA.03030,NA.03040,FF,Not Started,Not Started,2
NA.03040,NA.03050,FF,Not Started,Not Started,2
NA.03050,NA.03060,FF,Not Started,Not Started,2
NA.03060,NA.03100,FS,Not Started,Not Started,0
NA.03070,NA.03080,FS,Not Started,Not Started,0
